SpatialDimensionValueCode,diabetes_mean,diabetes_min,diabetes_max,Country
PRK,57953295392537.695,111209.0,1.1474742e+16,South-East Asia
PRT,353758287808148.75,115775.0,7.00441299999999e+16,Europe
PRY,35692128.94444445,135976.0,99525042.0,Americas
PSE,18444160.41919192,1290752.0,28473294.0,Eastern Mediterranean
PYF,15712590.813131314,155284.0,21302052.0,Western Pacific
QAT,110982026551433.23,301714.0,2.1974437e+16,Eastern Mediterranean
ROU,192977189748449.47,67185.0,3.8209476e+16,Europe
RUS,62416933.76767677,878224.0,99276505.0,Europe
RWA,43390552.14141414,41561.0,75211272.0,Africa
SAU,24238828.434343435,222573.0,33507437.0,Eastern Mediterranean
SDN,17604018.262626264,110169.0,99701867.0,Eastern Mediterranean
SEAR,80066610662690.67,143004.0,1.5853186e+16,
SEN,55519622.23737374,112299.0,99885203.0,Africa
SGP,63217942039385.89,118047.0,1.251715e+16,Western Pacific
SLB,480167069208338.0,747988.0,9.5073067e+16,Western Pacific
SLE,51302002.81313131,110168.0,99952139.0,Africa
SLV,35064902.18686869,111172.0,99747188.0,Americas
SOM,54415547.28787879,1024778.0,99826038.0,Eastern Mediterranean
SRB,253527281908126.62,539928.0,5.0198391e+16,Europe
SSD,813730728327534.2,4779043.0,8.9137651e+16,Africa
STP,69484982184810.766,1037197.0,1.3758019e+16,Africa
SUR,176863104030679.28,114576.0,1.8763401e+16,Americas
SVK,54485718.035353534,464442.0,97977832.0,Europe
SVN,335915539788156.9,55473.0,6.6511266e+16,Europe
SWE,44113793.303030305,352097.0,83220296.0,Europe
SWZ,42123784.76767677,106842.0,99859655.0,Africa
SYC,16665643.883838383,170416.0,99200614.0,Africa
SYR,199891078624199.12,148681.0,2.47051519999999e+16,Eastern Mediterranean
TCD,425695635048564.3,107658.0,8.42877249999999e+16,Africa
TGO,57105118.91919192,724895.0,99463649.0,Africa
THA,48159495.17676768,652235.0,99938825.0,South-East Asia
TJK,27679060.666666668,119174.0,99567078.0,Europe
TKL,31891916.90909091,379471.0,42941731.0,Western Pacific
TKM,92621662996348.02,1224613.0,1.8339086e+16,Europe
TLS,204866967145465.28,521763.0,4.056365e+16,South-East Asia
TON,114021713505911.31,231364.0,2.25762949999999e+16,Western Pacific
TTO,20544078.939393938,188905.0,35961995.0,Americas
TUN,22322722.0,109037.0,99701472.0,Eastern Mediterranean
TUR,92298861726497.7,1017767.0,1.8275169e+16,Europe
TUV,84639011522112.56,1281196.0,1.67585209999999e+16,Western Pacific
TZA,712692354677555.2,4088822.0,7.8946345e+16,Africa
UGA,46450686.984848484,577887.0,73021084.0,Africa
UKR,358283132216182.6,55953.0,7.0940048e+16,Europe
URY,29955604.96969697,117502.0,99535823.0,Americas
USA,51300938502705.31,1034137.0,1.0157578e+16,Americas
UZB,450261951990280.3,947503.0,8.9151859e+16,Europe
VCT,32461347.46969697,150914.0,99993579.0,Americas
VEN,62123400167462.69,117507.0,1.2300427e+16,Americas
VNM,50294485.040404044,130576.0,97266816.0,Western Pacific
VUT,447321361200082.2,106277.0,7.2756208e+16,Western Pacific
WB_HI,55996798.55555555,745662.0,99920526.0,
WB_LI,984444205670053.4,110558.0,9.9043272e+16,
WB_LMI,140720878366627.12,151823.0,1.625061e+16,
WB_UMI,48834458.30808081,611737.0,99766403.0,
WPR,59311847.08080808,140435.0,99521734.0,
WSM,89661885130903.5,234648.0,1.775305e+16,Western Pacific
YEM,83618295723545.36,136061.0,1.6556419e+16,Eastern Mediterranean
ZAF,15742293.434343435,132929.0,98286197.0,Africa
ZMB,65408097032382.04,104424.0,1.2950793e+16,Africa
ZWE,474038168392417.4,101787.0,9.38595529999999e+16,Africa
